0.649, 0.467293, 0.309431, 0.264124, 0.266763, 0.139183, 
0.276406, 0.195859, 0.240018, 0.0863517, 0.225274, 0.0658749, 
0.25703, 0.153718, 0.226528, 0.0636714, 0.215525, 0.0509877, 
0.246868, 0.136817, 0.218632, 0.0574125, 0.209305, 0.0463192, 
0.240205, 0.131887, 0.214196, 0.0549642, 0.206405, 0.0452012, 
0.235738, 0.122878, 0.211454, 0.0507983, 0.204169, 0.0421894, 
0.231518, 0.121913, 0.208225, 0.0499415, 0.201185, 0.0413844, 
0.224895, 0.119951, 0.202933, 0.0486366, 0.19681, 0.0404525, 
0.225202, 0.117909, 0.203914, 0.0469298, 0.198029, 0.0388158, 
0.2225, 0.120152, 0.20187, 0.0479021, 0.196029, 0.0393941, 
0.222759, 0.113393, 0.20261, 0.0423087, 0.196881, 0.034706, 
0.220571, 0.113551, 0.200784, 0.0435738, 0.195119, 0.0360112, 
0.21929, 0.118807, 0.199855, 0.0474695, 0.194617, 0.0392837, 
0.219384, 0.111851, 0.200379, 0.0426924, 0.195337, 0.035272, 
0.219106, 0.114873, 0.200484, 0.0459082, 0.195777, 0.0380248, 
0.21849, 0.113261, 0.19994, 0.0439072, 0.195248, 0.0362816, 
0.215827, 0.108025, 0.197771, 0.040779, 0.192759, 0.0341951, 
0.217618, 0.114147, 0.199382, 0.0436755, 0.194816, 0.0363556, 
0.217061, 0.116229, 0.199256, 0.0449128, 0.194644, 0.0369351, 
0.215416, 0.114418, 0.197666, 0.0442623, 0.193164, 0.0368956, 
0.218792, 0.113562, 0.201159, 0.0441912, 0.196482, 0.0370402, 
0.21506, 0.10926, 0.197616, 0.0410654, 0.193309, 0.0339245, 
0.212947, 0.113572, 0.195556, 0.043293, 0.191298, 0.0359, 
0.215416, 0.110548, 0.197816, 0.0417118, 0.193518, 0.0338422, 
0.214919, 0.110755, 0.197644, 0.0408582, 0.193433, 0.0335395, 
0.213293, 0.113131, 0.196376, 0.0428981, 0.192054, 0.0355017, 
0.213123, 0.112046, 0.196425, 0.042718, 0.192342, 0.0347737, 
0.213942, 0.114111, 0.196906, 0.0435458, 0.192794, 0.0362734, 
0.213128, 0.11205, 0.19653, 0.0420848, 0.192496, 0.0346226, 
0.210521, 0.113082, 0.194346, 0.0420153, 0.190288, 0.0347052, 
0.213443, 0.109338, 0.197009, 0.0411197, 0.192942, 0.0334175, 
0.213609, 0.110996, 0.197414, 0.0416959, 0.193346, 0.0342955, 
0.212491, 0.11086, 0.196486, 0.0431927, 0.19271, 0.0359783, 
0.213278, 0.108415, 0.197141, 0.0399122, 0.193431, 0.032901,
